アイスランド	レイキャヴィーク
アイルランド	ダブリン
アゼルバイジャン	バクー
アフガニスタン	カブール
アメリカ合衆国	ワシントンD.C.
アラブ首長国連邦	アブダビ
アルジェリア	アルジェ
アルゼンチン	ブエノスアイレス
アルバニア	ティラナ
アルメニア	エレバン
アンゴラ	ルアンダ
アンティグア・バーブーダ	セントジョンズ
アンドラ	アンドラ・ラ・ベリャ
イエメン	サヌア
イギリス	ロンドン
イタリア	ローマ
イラク	バグダッド
イラン	テヘラン
インド	ニューデリー
インドネシア	ジャカルタ
ウガンダ	カンパラ
ウクライナ	キエフ
ウズベキスタン	タシケント
ウルグアイ	モンテビデオ
エクアドル	キト
エジプト	カイロ
エストニア	タリン
エチオピア	アディスアベバ
エリトリア	アスマラ
エルサルバドル	サンサルバドル
オーストラリア	キャンベラ
オーストリア	ウィーン
オマーン	マスカット
オランダ	アムステルダム
ガーナ	アクラ
カーボヴェルデ	プライア
ガイアナ	ジョージタウン
カザフスタン	アスタナ
カタール	ドーハ
カナダ	オタワ
ガボン	リーブルヴィル
カメルーン	ヤウンデ
ガンビア	バンジュール
カンボジア	プノンペン
ギニア	コナクリ
ギニアビサウ	ビサウ
キプロス	ニコシア
キューバ	ハバナ
ギリシャ	アテネ
キリバス	タラワ
キルギス	ビシュケク
グアテマラ	グアテマラシティ
クウェート	クウェート
ジョージア	トビリシ
グレナダ	セントジョージズ
クロアチア	ザグレブ
ケニア	ナイロビ
コートジボワール	ヤムスクロ
コスタリカ	サンホセ
コモロ	モロニ
コロンビア	ボゴタ
コンゴ共和国	ブラザヴィル
コンゴ民主共和国	キンシャサ
サウジアラビア	リヤド
サモア	アピア
サントメ・プリンシペ	サントメ
ザンビア	ルサカ
サンマリノ	サンマリノ
シエラレオネ	フリータウン
ジブチ	ジブチ
ジャマイカ	キングストン
シリア	ダマスカス
シンガポール	シンガポール
ジンバブエ	ハラレ
スイス	ベルン
スウェーデン	ストックホルム
スーダン	ハルツーム
スペイン	マドリード
スリナム	パラマリボ
スリランカ	スリジャヤワルダナプラコッテ
スロバキア	ブラチスラバ
スロベニア	リュブリャナ
スワジランド	ムババーネ
セーシェル	ビクトリア
セネガル	ダカール
セルビア	ベオグラード
セントクリストファー・ネーヴィス	バセテール
セントビンセント・グレナディーン	キングスタウン
セントルシア	カストリーズ
ソマリア	モガディシオ
ソロモン諸島	ホニアラ
タイ	バンコク
タジキスタン	ドゥシャンベ
タンザニア	ドドマ
チェコ	プラハ
チャド	ンジャメナ
チュニジア	チュニス
チリ	サンティアゴ
ツバル	フナフティ
デンマーク	コペンハーゲン
ドイツ	ベルリン
トーゴ	ロメ
ドミニカ共和国	サントドミンゴ
ドミニカ国	ロゾー
トリニダード・トバゴ	ポートオブスペイン
トルクメニスタン	アシガバート
トルコ	アンカラ
トンガ	ヌクアロファ
ナイジェリア	アブジャ
ナミビア	ウィントフック
ニカラグア	マナグア
ニジェール	ニアメ
ニュージーランド	ウェリントン
ネパール	カトマンズ
ノルウェー	オスロ
バーレーン	マナーマ
ハイチ	ポルトープランス
パキスタン	イスラマバード
パナマ	パナマシティ
バヌアツ	ポートビラ
バハマ	ナッソー
パプアニューギニア	ポートモレスビー
パラグアイ	アスンシオン
バルバドス	ブリッジタウン
ハンガリー	ブダペスト
バングラデシュ	ダッカ
フィジー	スバ
フィリピン	マニラ
フィンランド	ヘルシンキ
ブータン	ティンプー
ブラジル	ブラジリア
フランス	パリ
ブルガリア	ソフィア
ブルキナファソ	ワガドゥグー
ブルネイ	バンダルスリブガワン
ブルンジ	ブジュンブラ
ベトナム	ハノイ
ベナン	ポルトノボ
ベネズエラ	カラカス
ベラルーシ	ミンスク
ベリーズ	ベルモパン
ペルー	リマ
ベルギー	ブリュッセル
ポーランド	ワルシャワ
ボスニア・ヘルツェゴビナ	サラエヴォ
ボツワナ	ハボローネ
ボリビア	ラパス
ポルトガル	リスボン
ホンジュラス	テグシガルパ
マーシャル諸島	マジュロ
マケドニア	スコピエ
マダガスカル	アンタナナリボ
マラウイ	リロングウェ
マリ	バマコ
マルタ	バレッタ
マレーシア	クアラルンプール
ミクロネシア連邦	パリキール
ミャンマー	ネーピードー
メキシコ	メキシコシティ
モーリシャス	ポートルイス
モーリタニア	ヌアクショット
モザンビーク	マプト
モナコ	モナコ
モルディブ	マレ
モルドバ	キシニョフ
モロッコ	ラバト
モンゴル	ウランバートル
ヨルダン	アンマン
ラオス	ビエンチャン
ラトビア	リガ
リトアニア	ビリニュス
リビア	トリポリ
リヒテンシュタイン	ファドゥーツ
リベリア	モンロビア
ルーマニア	ブカレスト
ルクセンブルク	ルクセンブルク
ルワンダ	キガリ
レソト	マセル
レバノン	ベイルート
ロシア	モスクワ
赤道ギニア	マラボ
大韓民国	ソウル
中央アフリカ	バンギ
中華人民共和国	北京
朝鮮民主主義人民共和国	平壌
東ティモール	ディリ
南アフリカ	プレトリア
日本	東京
ナウル	ヤレン
パラオ	マルキョク
モンテネグロ	ポドゴリツァ
南スーダン	ジュバ
コソボ	プリシュティナ
